,n.name,n.code,score
29,Dallas Fort Worth International Airport,KDFW,1176575.0080540366
16,Chicago O'Hare International Airport,KORD,1044340.3843219016
68,Dallas Love Field,KDAL,781685.5767312129
120,Centennial Airport,KAPA,761392.8484819727
60,DeKalb Peachtree Airport,KPDK,739591.7321373915
105,Addison Airport,KADS,617251.933238701
27,Ted Stevens Anchorage International Airport,PANC,587354.3658020351
150,Charlotte Douglas International Airport,KCLT,547945.0825831349
53,Phoenix Sky Harbor International Airport,KPHX,535397.0543313572
35,Louisville Muhammad Ali International Airport,KSDF,521653.5435780301
20,Scottsdale Airport,KSDL,520747.3097607335
631,Raleigh Durham International Airport,KRDU,517651.011389591
59,Baltimore/Washington International Thurgood Marshall Airport,KBWI,510357.68745759333
43,Philadelphia International Airport,KPHL,496549.82799255085
31,Hartsfield Jackson Atlanta International Airport,KATL,492747.5721587313
64,Chicago Midway International Airport,KMDW,433384.5957695874
106,Charles B. Wheeler Downtown Airport,KMKC,433285.4468631589
144,Boeing Field King County International Airport,KBFI,384781.957404553
97,Washington Dulles International Airport,KIAD,383154.92611786135
79,William P Hobby Airport,KHOU,378448.67060055176
81,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,375224.9592681368
149,San Antonio International Airport,KSAT,357678.103774448
158,Chicago Executive Airport,KPWK,326521.51138545625
44,Nashville International Airport,KBNA,321925.3163158377
171,Cincinnati Municipal Airport Lunken Field,KLUK,316328.9220466773
228,Northwest Florida Beaches International Airport,KECP,308345.92165757454
76,McGhee Tyson Airport,KTYS,302226.3921905656
63,Spirit of St Louis Airport,KSUS,302065.7207252036
156,Fort Worth Meacham International Airport,KFTW,300810.8600324716
61,Indianapolis International Airport,KIND,294991.18753088446
84,Naples Municipal Airport,KAPF,279819.20263535914
48,Logan International Airport,KBOS,279126.6851291796
599,Sarasota Bradenton International Airport,KSRQ,273485.49084902945
62,Portland International Airport,KPDX,260454.7489947817
58,St Louis Lambert International Airport,KSTL,256826.36963047303
25,Teterboro Airport,KTEB,252653.80687289452
104,John Wayne Airport-Orange County Airport,KSNA,244625.09261472724
250,Flying Cloud Airport,KFCM,242128.71053466844
93,John Glenn Columbus International Airport,KCMH,238202.80184219964
242,Richard Lloyd Jones Jr Airport,KRVS,236193.30500021772
73,McCarran International Airport,KLAS,235934.44981886575
264,Rocky Mountain Metropolitan Airport,KBJC,235331.5067651926
39,Seattle Tacoma International Airport,KSEA,230850.35238502378
72,Austin Bergstrom International Airport,KAUS,230782.86798884097
134,Eppley Airfield,KOMA,230561.39970946146
80,Page Field,KFMY,227231.65953327232
65,Denver International Airport,KDEN,225522.0267666144
214,David Wayne Hooks Memorial Airport,KDWH,221381.8232102398
24,George Bush Intercontinental Houston Airport,KIAH,214228.31983131645
86,Detroit Metropolitan Wayne County Airport,KDTW,210561.69776631857
592,The Ohio State University Airport - Don Scott Field,KOSU,209317.95608731676
40,Los Angeles International Airport,KLAX,208144.74264639773
136,Metropolitan Oakland International Airport,KOAK,205891.06462028957
911,Destin Executive Airport,KDTS,202236.8234141317
85,Boise Air Terminal/Gowen Field,KBOI,198911.80744693548
41,Fort Lauderdale Hollywood International Airport,KFLL,197213.60862922043
725,Frederick Douglass Greater Rochester International Airport,KROC,194555.0472100417
172,General Mitchell International Airport,KMKE,193951.54294751296
793,Oakland County International Airport,KPTK,181811.76411301782
147,Norman Y. Mineta San Jose International Airport,KSJC,178303.66857168998
205,Sugar Land Regional Airport,KSGR,173916.1869186679
22,Norfolk International Airport,KORF,172549.7348737697
177,New Castle Airport,KILG,171965.0325438939
37,Dupage Airport,KDPA,170386.14530616443
923,Denton Municipal Airport,KDTO,165718.1701869424
457,Dane County Regional Truax Field,KMSN,163022.69647054587
