,n.name,n.code,score
4619,Sidney Municipal Airport,KN23,1.0
4393,Worth Airport,9MO4,1.0
4320,Lawlor-Justus Airport,9MO3,1.0
4263,Madison Municipal Airport,K52A,1.0
4203,Campbell Field,06XS,1.0
4190,Four Pillars Airport,AZ21,1.0
4111,Olney Noble Airport,KOLY,1.0
4020,Lone Star Steel Company Airport,4TE0,1.0
3406,Hilltop Ranch Airport,9TA1,1.0
3961,Arnolds Airport,36KY,1.0
3936,Cuba Municipal Airport,KUBX,1.0
3932,Rancho de Aereo Airport,05CO,1.0
2717,Belknap-Icarus Acres Airport,1IN0,1.0
802,Malone Dufort Airport,KMAL,1.0
3832,Wagner International Airport,OI06,1.0
3431,Lewis Airfield,70IN,1.0
3825,Donner Field,OH28,1.0
3792,Prose Field,XA00,1.0
2883,B J Farms Airport,NJ06,1.0
3761,Iuka Airport,K15M,1.0
2961,Taylor Field,MU78,1.0
1197,Moore Airfield,01NH,1.0
3600,Barnes Airport,MD47,1.0
3596,Farris Strip,61MU,1.0
3448,Marion Municipal Airport,KMZZ,1.0
3523,Bear Creek Ranch Airport,5TS8,1.0
3471,Plane Country Airport,45OI,1.0
5416,Tilghman Whipp Airport,7MD9,1.0
4343,Tangier Island Airport,KTGI,1.0
2430,Roseland Airport,32MD,1.0
4793,Dyer's Landing Airport,57ME,1.0
3221,Vetterkind Strip,73WI,1.0
390,Mathaire Field,WI97,1.0
4963,Powis Airport,MO87,1.0
422,Baird-Wolford Airport,2II6,1.0
4948,Schertz Aerial Service - Hudson Airport,04IL,1.0
4869,Edward F Knapp State Airport,KMPV,1.0
3202,Hendricks Field,NK16,1.0
4836,Kami-Kazi Airport,5TA7,1.0
4808,Schoettmer Farm Airport,67II,1.0
4798,Scholes International At Galveston Airport,KGLS,1.0
5455,Kohlhaas Airport,IA83,1.0
3521,Kendall Airstrip,WN08,1.0
4543,Church Hill Airport,MD62,1.0
4586,Sport Flyers Airport,27XS,1.0
4712,T-Ranch Airport,XS86,1.0
4570,Madisonville Municipal Airport,K51R,1.0
2326,Duflo Airport,NY10,1.0
2334,Lake Village Municipal Airport,KM32,1.0
4591,Norm's Airport,29II,1.0
