,n.name,n.code,score
32,Chicago O'Hare International Airport,KORD,4728.0
105,Hartsfield Jackson Atlanta International Airport,KATL,4545.0
55,Los Angeles International Airport,KLAX,3611.0
73,Dallas Fort Worth International Airport,KDFW,3237.0
97,McCarran International Airport,KLAS,3226.0
23,Denver International Airport,KDEN,3197.0
108,Phoenix Sky Harbor International Airport,KPHX,2972.0
64,San Francisco International Airport,KSFO,2521.0
101,Logan International Airport,KBOS,2444.0
19,Seattle Tacoma International Airport,KSEA,2395.0
109,La Guardia Airport,KLGA,2293.0
16,Detroit Metropolitan Wayne County Airport,KDTW,2237.0
37,George Bush Intercontinental Houston Airport,KIAH,2170.0
10,Newark Liberty International Airport,KEWR,2143.0
21,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,2099.0
31,Philadelphia International Airport,KPHL,1995.0
54,Ronald Reagan Washington National Airport,KDCA,1926.0
106,Fort Lauderdale Hollywood International Airport,KFLL,1749.0
40,John F Kennedy International Airport,KJFK,1679.0
66,Miami International Airport,KMIA,1652.0
104,San Diego International Airport,KSAN,1602.0
126,Washington Dulles International Airport,KIAD,1480.0
53,Nashville International Airport,KBNA,1439.0
124,Tampa International Airport,KTPA,1430.0
84,Baltimore/Washington International Thurgood Marshall Airport,KBWI,1428.0
91,Dallas Love Field,KDAL,1387.0
62,Norman Y. Mineta San Jose International Airport,KSJC,1332.0
86,Portland International Airport,KPDX,1326.0
172,Chicago Midway International Airport,KMDW,1311.0
34,St Louis Lambert International Airport,KSTL,1267.0
67,Raleigh Durham International Airport,KRDU,1235.0
145,Lester B. Pearson International Airport,CYYZ,1224.0
140,Austin Bergstrom International Airport,KAUS,1214.0
221,Metropolitan Oakland International Airport,KOAK,1176.0
76,William P Hobby Airport,KHOU,1164.0
69,John Wayne Airport-Orange County Airport,KSNA,1145.0
160,Louisville Muhammad Ali International Airport,KSDF,1065.0
45,Cincinnati Northern Kentucky International Airport,KCVG,1010.0
137,Sacramento International Airport,KSMF,930.0
110,Bob Hope Airport,KBUR,895.0
114,John Glenn Columbus International Airport,KCMH,884.0
218,Kansas City International Airport,KMCI,862.0
159,San Antonio International Airport,KSAT,849.0
71,Teterboro Airport,KTEB,849.0
100,Cleveland Hopkins International Airport,KCLE,808.0
173,Southwest Florida International Airport,KRSW,780.0
157,General Mitchell International Airport,KMKE,663.0
154,Ontario International Airport,KONT,621.0
122,Van Nuys Airport,KVNY,601.0
174,Eppley Airfield,KOMA,565.0
11,London Heathrow Airport,EGLL,553.0
142,Albuquerque International Sunport,KABQ,551.0
209,Boise Air Terminal/Gowen Field,KBOI,518.0
317,Long Beach Airport (Daugherty Field),KLGB,518.0
99,Westchester County Airport,KHPN,506.0
267,Daytona Beach International Airport,KDAB,503.0
139,Scottsdale Airport,KSDL,476.0
186,Miami-Opa Locka Executive Airport,KOPF,460.0
133,Montreal / Pierre Elliott Trudeau International Airport,CYUL,452.0
216,Norfolk International Airport,KORF,448.0
148,McGhee Tyson Airport,KTYS,445.0
150,Vancouver International Airport,CYVR,434.0
158,Dane County Regional Truax Field,KMSN,432.0
102,Buffalo Niagara International Airport,KBUF,428.0
152,Gerald R. Ford International Airport,KGRR,422.0
111,Palm Springs International Airport,KPSP,420.0
75,Ted Stevens Anchorage International Airport,PANC,415.0
245,South Valley International Airport,KU42,401.0
166,Sarasota Bradenton International Airport,KSRQ,401.0
144,Tulsa International Airport,KTUL,363.0
83,McClellan-Palomar Airport,KCRQ,361.0
201,Boeing Field King County International Airport,KBFI,357.0
120,Fresno Yosemite International Airport,KFAT,350.0
58,Phoenix Deer Valley Airport,KDVT,334.0
397,DeKalb Peachtree Airport,KPDK,329.0
46,Charlotte Douglas International Airport,KCLT,328.0
233,Greater Rochester International Airport,KROC,324.0
85,Theodore Francis Green State Airport,KPVD,313.0
151,Calgary International Airport,CYYC,309.0
657,Syracuse Hancock International Airport,KSYR,304.0
20,Laurence G Hanscom Field,KBED,304.0
115,Salt Lake City International Airport,KSLC,303.0
239,Montgomery-Gibbs Executive Airport,KMYF,302.0
763,Will Rogers World Airport,KOKC,299.0
89,Camarillo International Airport,KCMA,297.0
116,Centennial Airport,KAPA,293.0
92,Falcon Field,KFFZ,292.0
180,Northwest Arkansas Regional Airport,KXNA,284.0
169,James M Cox Dayton International Airport,KDAY,273.0
193,Addison Airport,KADS,268.0
251,Pittsburgh International Airport,KPIT,265.0
