,origin
KATL,33531
KORD,33311
KDFW,26685
KLAX,24429
KDEN,22924
KLAS,19062
KPHX,18161
VIDP,17927
KEWR,17465
KIAH,17427
EDDF,16907
EGLL,16623
KSFO,16593
KSEA,16345
KJFK,15953
LFPG,15581
KBOS,15353
CYYZ,14800
EHAM,14768
KMIA,14757
KDTW,14359
WMKK,14328
LEMD,14291
KMSP,14255
KLGA,14240
KPHL,13816
EDDM,13498
UUEE,13084
YSSY,12673
KFLL,12209
WSSS,12062
OMDB,12019
KDCA,11739
VTBS,11323
KIAD,10864
VABB,10292
RKSI,10256
RPLL,9931
SBGR,9524
RJTT,9374
LIRF,9218
LEBL,9185
EGKK,9121
YMML,9118
SKBO,9037
KBWI,8971
LSZH,8811
VTBD,8792
VOBL,8773
OTHH,8736
KSAN,8657
EKCH,8648
VHHH,8603
KCLT,8574
LOWW,8538
KDAL,8495
LTFJ,8475
CYVR,8466
KBNA,8121
KPDX,8073
YBBN,7911
ENGM,7885
KTPA,7774
EIDW,7479
ESSA,7475
KMDW,7395
KSJC,7380
KRDU,7366
RCTP,7289
CYUL,7257
KSNA,7149
KSTL,7104
KOAK,6953
KHOU,6925
LPPT,6866
KDVT,6811
LSGG,6784
LIMC,6767
KAUS,6660
NZAA,6616
EGSS,6608
CYYC,6587
VOMM,6484
KFFZ,6400
LFPO,6348
KSDF,6161
SPJC,6099
UUDD,6045
EDDL,5989
EDDT,5950
EFHK,5871
PANC,5748
KTEB,5685
OERK,5592
RJBB,5578
KCVG,5569
KIWA,5467
SBSP,5457
EPWA,5319
EGCC,5255
UUWW,5116
YPPH,5064
KVNY,4991
KSAT,4934
KSMF,4903
KLGB,4842
KRSW,4801
KCMH,4788
EBBR,4759
KBUR,4683
ULLI,4560
EDDH,4555
KSDL,4538
KAPA,4513
KCLE,4455
RJFF,4392
EGGW,4380
KMYF,4354
KMCI,4350
EDDK,4283
RKSS,4251
KABQ,4115
LHBP,3988
LKPR,3914
SBBR,3874
LIML,3874
KHPN,3862
KSEE,3836
ZGSZ,3833
KDAB,3756
LEMG,3750
KADS,3745
KMKE,3739
NZCH,3510
EDDS,3494
KCRQ,3478
LGAV,3453
KONT,3438
KBFI,3433
LLBG,3406
KBOI,3403
LIME,3396
VECC,3385
EGPH,3353
LFBO,3245
OBBI,3239
SBKP,3237
LEPA,3220
KOMA,3217
LTAC,3146
KPDK,3125
SBGL,2981
KVGT,2930
KHWO,2923
EDDB,2883
LFLL,2869
KPSP,2835
LPPR,2831
EVRA,2780
KOPF,2759
KRVS,2683
YSBK,2672
KCMA,2653
KTYS,2634
YPAD,2629
KSRQ,2617
SBRJ,2606
LIPZ,2599
YMMB,2594
ELLX,2582
KCHD,2560
KGRR,2531
KTOA,2514
KMSN,2505
KBUF,2478
KORF,2476
KTUL,2460
EGBB,2448
LIPE,2428
EGLC,2419
EBMB,2417
LFML,2410
KPUB,2410
KPAO,2386
KFTW,2338
LSZM,2333
EDDP,2332
WMSA,2308
KBED,2300
UKBB,2299
OMSJ,2275
SAEZ,2274
ENZV,2255
KFAT,2217
WBKK,2191
KFMY,2153
VCBI,2139
YPPF,2136
KROC,2130
EPKK,2119
KPIE,2087
FACT,2061
KRHV,2052
YSCB,2043
KBJC,2035
MMTJ,2032
GMMN,2030
LFBD,2015
KFRG,1989
KSMO,1973
EGGD,1969
KPAE,1938
ESGG,1920
KGYR,1917
EBCI,1912
CYTZ,1887
LEZL,1858
KSQL,1852
KSUS,1843
NZWN,1841
KSYR,1835
KHIO,1831
KLVK,1830
KU42,1827
KLAF,1823
KCOS,1815
UMMS,1813
MDPC,1799
KPVD,1784
MROC,1781
LIRA,1766
KAPF,1748
KPIT,1744
YPJT,1730
KMKC,1717
SABE,1717
EDDV,1693
EGNX,1693
DAAG,1692
KEMT,1686
KTTN,1679
KHND,1656
YBCG,1650
KISP,1640
CYOW,1619
TJIG,1614
KPRC,1608
RJOO,1601
KPWK,1597
ESSB,1568
KPGD,1566
LMML,1562
VAJJ,1547
KFCM,1547
RCKH,1542
YBCS,1533
KDAY,1527
KPTK,1527
KHWD,1495
KSAC,1489
KXNA,1481
LTBW,1475
KSLC,1471
KPVU,1463
LEVC,1463
RCSS,1458
UAAA,1455
KCNO,1440
LEAL,1434
EGAA,1431
KAFW,1428
RPLC,1426
WMKJ,1408
EPGD,1407
KFUL,1392
KMDT,1389
LROP,1388
BIKF,1387
YMEN,1376
KABE,1374
KTKI,1370
KSBP,1363
KSGR,1363
EHEH,1353
LFPB,1335
VEPI,1333
KHHR,1327
KCCR,1325
EDDN,1308
KORL,1302
LOWS,1297
KOKC,1292
KEVB,1291
KMMU,1290
KOSU,1275
LIBD,1272
KCDW,1260
LDZA,1246
K61B,1236
KSGF,1222
EGGP,1219
KCPS,1215
KLUK,1211
KTUS,1208
KLOT,1193
KMHR,1189
KWHP,1187
KLNK,1183
OMDW,1178
KSPG,1159
KCHO,1157
EKBI,1153
KRNT,1151
KHSV,1142
KHEF,1130
KGKY,1127
CYYJ,1127
KSDM,1117
KECP,1116
KPNE,1107
KNSE,1106
KDWH,1106
EBLG,1100
VAPO,1099
KDPA,1099
EETN,1088
KGRB,1085
KAPC,1063
LFRS,1060
KRBD,1055
RJTK,1052
LPFR,1049
KPOC,1044
KF70,1042
LYBE,1030
KRFD,1021
KLZU,1012
EPKT,1011
KLNS,1008
CYXE,1004
KMTN,1000
KSCK,997
KFDK,990
SBVT,983
TBPB,981
KROA,978
OERY,977
KFXE,975
KDTO,961
KATW,954
CYHM,931
KVNC,929
KLOU,924
EGPF,918
KMCC,912
EGNT,912
KSTS,902
KBDN,899
EGLF,895
FAGC,892
KRYY,888
KAVQ,886
KBLI,880
KRAL,879
88PA,878
SBCO,877
LIPX,874
YSWG,872
KFTY,866
LTBA,846
LFOB,842
OEDF,835
YMHB,830
K1G4,830
KGPM,827
KPNS,825
KCRP,819
EDDW,818
20II,816
KAJO,815
KSBA,798
KGSO,797
EDLW,795
NZNE,792
KIWS,791
PAMR,791
KFWA,789
YSTW,781
ESMS,778
RJOA,778
ENUL,767
KJYO,755
KSAF,752
EPPO,750
CHF2,748
YBMC,745
KRNM,742
WBSB,740
LIPH,736
LIMF,736
KVDF,731
GOBD,730
SLVR,730
KGEU,728
KCLW,723
KPHF,720
KCBF,708
LEIB,708
KSKA,707
KMLE,706
KOXR,697
KMOD,696
NZPM,695
KYIP,693
FA37,690
UDYZ,684
EGPD,671
EICK,669
OMAA,667
KX50,666
KHYI,663
NTAA,660
KRYN,655
KSTP,654
EPMO,653
KCGZ,653
EKYT,650
KGAI,647
K1G0,645
EDDC,642
EINN,642
YBAF,642
KPWA,642
FL57,639
YWLM,639
05IN,634
EGMC,629
KVIS,624
KUGN,622
VMMC,622
KFNL,619
EHRD,618
KCPK,617
KCMI,607
MMUN,600
KILG,600
UKKK,597
VVVH,594
CZBB,591
YPEA,590
82PA,589
ZUCK,588
KBVY,587
KO69,583
EGKB,580
FAOR,579
KE16,577
LZIB,574
KTTA,574
KIND,574
7PS7,571
KOSH,569
KMCF,568
KOWD,567
KYKM,564
KEYE,563
CYMX,557
KAFF,553
KAUN,552
SSJC,551
KC29,548
KUES,545
ENBR,543
KU77,543
KMIC,543
LIRU,534
YMAY,534
EGOS,532
KOCF,531
ENBO,530
KAEG,527
OTBH,527
KRND,520
KSWF,518
LFNR,518
KLOM,517
KNYL,517
KOMN,516
LJLJ,516
KLDJ,515
KGEG,514
KMRY,513
YMPC,512
KCCB,510
LFLB,507
KE60,503
SADP,497
KISM,496
96WA,496
KEDU,494
KUAO,493
KC83,492
KDVO,492
KOKB,492
KACY,490
LSZB,488
K7L8,487
LFLS,486
KMLI,484
KTYR,475
KTOL,474
LFQQ,474
ESKN,473
KAWO,472
K06C,469
KFLG,469
KEUL,469
KSPI,467
KDTS,467
KPAN,463
24FL,462
KEFD,462
KEWB,460
KJVL,457
KGPI,455
KMZJ,455
KPRB,454
KS50,453
7FL6,453
NZTG,451
UWUU,448
RCQC,447
EDJA,447
EDFH,441
VGTJ,439
EHKD,439
VGZR,435
KA39,434
3OR8,433
KEDC,432
LPSO,430
CYWG,429
KHQZ,429
KTPF,420
KPYM,419
KBTL,418
KTEX,418
KBVI,417
WSSL,416
KVCB,416
KWVI,415
EDDG,415
KLHM,415
EGHI,410
SKGY,408
LIEE,407
KDMA,405
KVPS,404
CO80,404
