dest_latitude,dest_longitude,month,0
-43.48939895629883,172.53199768066406,December,1
-37.7281,144.901993,November,1
-37.673302,144.843002,April,6
-37.673302,144.843002,August,7
-37.673302,144.843002,December,13
-37.673302,144.843002,January,13
-37.673302,144.843002,July,1
-37.673302,144.843002,June,1
-37.673302,144.843002,May,14
-37.673302,144.843002,November,14
-37.673302,144.843002,October,13
-37.673302,144.843002,September,11
-37.01199,174.786331,April,1
-37.01199,174.786331,December,18
-37.01199,174.786331,February,2
-37.01199,174.786331,January,14
-37.01199,174.786331,July,4
-37.01199,174.786331,June,3
-37.01199,174.786331,May,3
-37.01199,174.786331,November,18
-37.01199,174.786331,October,14
-37.01199,174.786331,September,12
-36.78779983520508,174.6300048828125,May,1
-34.8222,-58.5358,May,1
-33.94609832763672,151.177001953125,April,17
-33.94609832763672,151.177001953125,August,29
-33.94609832763672,151.177001953125,December,14
-33.94609832763672,151.177001953125,January,18
-33.94609832763672,151.177001953125,July,24
-33.94609832763672,151.177001953125,June,28
-33.94609832763672,151.177001953125,March,1
-33.94609832763672,151.177001953125,May,35
-33.94609832763672,151.177001953125,November,13
-33.94609832763672,151.177001953125,October,15
-33.94609832763672,151.177001953125,September,10
-31.94029998779297,115.96700286865234,April,1
-31.94029998779297,115.96700286865234,January,1
-31.94029998779297,115.96700286865234,September,1
-27.38419914245605,153.11700439453125,December,10
-27.38419914245605,153.11700439453125,January,8
-27.38419914245605,153.11700439453125,June,2
-27.38419914245605,153.11700439453125,November,8
-27.38419914245605,153.11700439453125,October,10
-27.38419914245605,153.11700439453125,September,9
-26.2494004736,28.3982715607,December,1
-26.2494004736,28.3982715607,February,1
-26.2494004736,28.3982715607,January,1
-26.2494004736,28.3982715607,March,1
-26.2494004736,28.3982715607,October,2
-26.2425,28.151199,July,1
-26.23859977722168,28.30179977416992,August,3
-26.14166641235352,28.69166755676269,June,1
-26.1392,28.246,August,7
-26.1392,28.246,December,4
-26.1392,28.246,July,4
-26.1392,28.246,November,13
-26.1392,28.246,October,8
-26.1392,28.246,September,10
